Product,Timestamp,Dealnumber
Opporeno,2019-09-04,2198.0
Opporeno,2019-09-05,7419.0
Opporeno,2019-09-05,254.0
Opporeno,2019-09-05,2158.0
Opporeno,2019-09-06,14000.0
Opporeno,2019-09-06,0.0
Opporeno,2019-09-06,0.0
Opporeno,2019-09-08,14000.0
Opporeno,2019-09-08,0.0
Opporeno,2019-09-08,0.0
Opporeno,2019-09-09,14000.0
Opporeno,2019-09-09,0.0
Opporeno,2019-09-09,0.0
Vivo-X27,2019-05-31,7217.0
Vivo-X27,2019-05-31,974.0
Vivo-X27,2019-05-31,1140.0
Vivo-X27,2019-06-01,7044.0
Vivo-X27,2019-06-01,955.0
Vivo-X27,2019-06-01,1083.0
Vivo-X27,2019-06-02,7254.0
Vivo-X27,2019-06-02,2885.0
Vivo-X27,2019-06-02,1116.0
Vivo-X27,2019-06-03,7305.0
Vivo-X27,2019-06-03,994.0
Vivo-X27,2019-06-03,1122.0
Vivo-X27,2019-06-04,7310.0
Vivo-X27,2019-06-04,2718.0
Vivo-X27,2019-06-04,1126.0
Vivo-X27,2019-06-05,7222.0
Vivo-X27,2019-06-05,2643.0
Vivo-X27,2019-06-05,1117.0
Vivo-X27,2019-06-06,7106.0
Vivo-X27,2019-06-06,2546.0
Vivo-X27,2019-06-06,1081.0
Vivo-X27,2019-06-07,7624.0
Vivo-X27,2019-06-07,2519.0
Vivo-X27,2019-06-07,1161.0
Vivo-X27,2019-06-08,7908.0
Vivo-X27,2019-06-08,2454.0
Vivo-X27,2019-06-08,1174.0
Vivo-X27,2019-06-09,7991.0
Vivo-X27,2019-06-09,2379.0
Vivo-X27,2019-06-09,1220.0
Vivo-X27,2019-06-10,8079.0
Vivo-X27,2019-06-10,2350.0
Vivo-X27,2019-06-10,1252.0
Vivo-X27,2019-06-11,8219.0
Vivo-X27,2019-06-11,2345.0
Vivo-X27,2019-06-11,1258.0
Vivo-X27,2019-06-12,8306.0
Vivo-X27,2019-06-12,2323.0
Vivo-X27,2019-06-12,1274.0
Vivo-X27,2019-06-13,8400.0
Vivo-X27,2019-06-13,2336.0
Vivo-X27,2019-06-13,1291.0
Vivo-X27,2019-06-15,8375.0
Vivo-X27,2019-06-15,2277.0
Vivo-X27,2019-06-15,1286.0
Vivo-X27,2019-06-16,8334.0
Vivo-X27,2019-06-16,2194.0
Vivo-X27,2019-06-16,1262.0
Vivo-X27,2019-06-17,8791.0
Vivo-X27,2019-06-17,2237.0
Vivo-X27,2019-06-17,1357.0
Vivo-X27,2019-06-18,8904.0
Vivo-X27,2019-06-18,2682.0
Vivo-X27,2019-06-18,1323.0
Vivo-X27,2019-06-19,9829.0
Vivo-X27,2019-06-19,3354.0
Vivo-X27,2019-06-19,1399.0
Vivo-X27,2019-06-20,10000.0
Vivo-X27,2019-06-20,3671.0
Vivo-X27,2019-06-20,1384.0
Vivo-X27,2019-06-21,10000.0
Vivo-X27,2019-06-21,3633.0
Vivo-X27,2019-06-21,1391.0
Vivo-X27,2019-06-22,10000.0
Vivo-X27,2019-06-22,3608.0
Vivo-X27,2019-06-22,1423.0
Vivo-X27,2019-06-23,10000.0
Vivo-X27,2019-06-23,3600.0
Vivo-X27,2019-06-23,1459.0
Vivo-X27,2019-06-24,10000.0
Vivo-X27,2019-06-24,3574.0
Vivo-X27,2019-06-24,1496.0
Vivo-X27,2019-06-25,10000.0
Vivo-X27,2019-06-25,3543.0
Vivo-X27,2019-06-25,1507.0
Vivo-X27,2019-06-26,10000.0
Vivo-X27,2019-06-26,3736.0
Vivo-X27,2019-06-26,1519.0
Vivo-X27,2019-06-27,10000.0
Vivo-X27,2019-06-27,3958.0
Vivo-X27,2019-06-27,1544.0
Vivo-X27,2019-06-28,10000.0
Vivo-X27,2019-06-28,3942.0
Vivo-X27,2019-06-28,1554.0
Vivo-X27,2019-06-29,10000.0
Vivo-X27,2019-06-29,3956.0
Vivo-X27,2019-06-29,3820.0
Vivo-X27,2019-06-30,10000.0
Vivo-X27,2019-06-30,3943.0
Vivo-X27,2019-06-30,3890.0
Vivo-X27,2019-07-01,10000.0
Vivo-X27,2019-07-01,4716.0
Vivo-X27,2019-07-01,1643.0
Vivo-X27,2019-07-02,9981.0
Vivo-X27,2019-07-02,4601.0
Vivo-X27,2019-07-02,1631.0
Vivo-X27,2019-07-04,9883.0
Vivo-X27,2019-07-04,4738.0
Vivo-X27,2019-07-04,1669.0
