Product,Timestamp,Dealprice
華為-Mat30Pro,2021-02-14,5299.0
華為-Mat30Pro-5G,2021-02-14,6399.0
Vivo-Nex3,2021-02-14,3998.0
Vivo-Nex3-5G,2021-02-14,3996.0
三星-Note10,2021-02-14,4699.0
三星-Note10-5G,2021-02-14,5799.0
華為-Mate30,2021-02-13,3999.0
華為-Mate30-5G,2021-02-13,4989.0
華為-Mat30Pro,2021-02-13,5299.0
華為-Mat30Pro-5G,2021-02-13,6399.0
Vivo-Nex3,2021-02-13,3998.0
Vivo-Nex3-5G,2021-02-13,3996.0
三星-Note10,2021-02-13,4699.0
三星-Note10-5G,2021-02-13,5799.0
華為-Mate30,2021-02-12,3999.0
華為-Mate30-5G,2021-02-12,4989.0
華為-Mat30Pro,2021-02-12,5299.0
華為-Mat30Pro-5G,2021-02-12,6399.0
Vivo-Nex3,2021-02-12,3998.0
Vivo-Nex3-5G,2021-02-12,3996.0
三星-Note10,2021-02-12,4699.0
三星-Note10-5G,2021-02-12,5799.0
華為-Mate30,2021-02-11,3999.0
華為-Mate30-5G,2021-02-11,4989.0
華為-Mat30Pro,2021-02-11,5299.0
華為-Mat30Pro-5G,2021-02-11,6399.0
Vivo-Nex3,2021-02-11,3998.0
Vivo-Nex3-5G,2021-02-11,3996.0
三星-Note10,2021-02-11,4699.0
三星-Note10-5G,2021-02-11,5799.0
華為-Mate30,2021-02-10,3999.0
華為-Mate30-5G,2021-02-10,4989.0
華為-Mat30Pro,2021-02-10,5299.0
華為-Mat30Pro-5G,2021-02-10,6399.0
Vivo-Nex3,2021-02-10,3998.0
Vivo-Nex3-5G,2021-02-10,3996.0
三星-Note10,2021-02-10,4699.0
三星-Note10-5G,2021-02-10,5799.0
華為-Mate30,2021-02-09,3999.0
華為-Mate30-5G,2021-02-09,4989.0
華為-Mat30Pro,2021-02-09,5299.0
華為-Mat30Pro-5G,2021-02-09,6399.0
Vivo-Nex3,2021-02-09,3998.0
Vivo-Nex3-5G,2021-02-09,3996.0
三星-Note10,2021-02-09,4699.0
三星-Note10-5G,2021-02-09,5799.0
華為-Mate30,2021-02-08,3999.0
華為-Mate30-5G,2021-02-08,4989.0
華為-Mat30Pro,2021-02-08,5299.0
華為-Mat30Pro-5G,2021-02-08,6399.0
