Product,Shopname,Dealprice,Dealnumber,Timestamp
三星-Note10-5G,三星官方旗艦店,7999,15000,2020-01-08
Vivo-Nex3-5G,蘇寧易購官方旗艦店,4998,1513,2020-01-08
Vivo-Nex3,蘇寧易購官方旗艦店,4498,422,2020-01-08
華為-Mate30,蘇寧易購官方旗艦店,4299,11000,2020-01-08
三星-Note10,蘇寧易購官方旗艦店,6599,261,2020-01-08
三星-Note10-5G,蘇寧易購官方旗艦店,7999,1186,2020-01-08
華為-Mate30,三際數碼官方旗艦店,4498,1843,2020-01-08
華為-Mate30Pro,三際數碼官方旗艦店,6899,1697,2020-01-08
三星-Note10,三際數碼官方旗艦店,6599,22,2020-01-08
三星-Note10-5G,三際數碼官方旗艦店,7999,429,2020-01-08
Vivo-Nex3-5G,Vivo官方旗艦店,5698,10000,2020-01-07
Vivo-Nex3,Vivo官方旗艦店,4498,1764,2020-01-07
華為-Mate30,華為官方旗艦店,4299,82000,2020-01-07
華為-Mate30Pro,華為官方旗艦店,5799,78000,2020-01-07
三星-Note10,三星官方旗艦店,6399,1330,2020-01-07
三星-Note10-5G,三星官方旗艦店,7999,15000,2020-01-07
Vivo-Nex3-5G,蘇寧易購官方旗艦店,4998,1499,2020-01-07
Vivo-Nex3,蘇寧易購官方旗艦店,4498,412,2020-01-07
華為-Mate30,蘇寧易購官方旗艦店,4299,11000,2020-01-07
三星-Note10,蘇寧易購官方旗艦店,6599,255,2020-01-07
三星-Note10-5G,蘇寧易購官方旗艦店,7999,1137,2020-01-07
華為-Mate30,三際數碼官方旗艦店,4498,1797,2020-01-07
華為-Mate30Pro,三際數碼官方旗艦店,6899,1640,2020-01-07
三星-Note10,三際數碼官方旗艦店,6599,22,2020-01-07
三星-Note10-5G,三際數碼官方旗艦店,7999,403,2020-01-07
Vivo-Nex3-5G,Vivo官方旗艦店,5698,10000,2020-01-06
Vivo-Nex3,Vivo官方旗艦店,4498,1764,2020-01-06
華為-Mate30,華為官方旗艦店,0,0,2020-01-06
華為-Mate30Pro,華為官方旗艦店,5799,77000,2020-01-06
三星-Note10,三星官方旗艦店,6399,1330,2020-01-06
三星-Note10-5G,三星官方旗艦店,7999,15000,2020-01-06
